,Unnamed: 0,album,track_number,id,name,uri,preview_url,artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,mood_vectors
0,0,Malaai Chaana Na,1,3IJQVaQcf1LQDrPEhGIlnH,Malaai Chaana Na,spotify:track:3IJQVaQcf1LQDrPEhGIlnH,https://p.scdn.co/mp3-preview/3c8cf0b1647fc719e652b23b2ca4ac71ee5bfee4?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.823,0.441,0.248,0.0101,0.376,-13.536,0.0273,153.916,0.283,49,"[0.283, 0.248]"
1,1,Malaai Chaana Na,2,7LdTjqwkSBAKzjssfIDHBO,Aaja Matra,spotify:track:7LdTjqwkSBAKzjssfIDHBO,https://p.scdn.co/mp3-preview/3cda765a78de40999e1037ddb0d9ac2040121dd4?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.717,0.513,0.289,0.000348,0.132,-11.914,0.0303,119.871,0.303,41,"[0.303, 0.289]"
2,2,Katha: Episode VIII - Tadhiera,1,7iwQRdO2T6VZ5XoSywHgP6,Katha: Episode VIII - Tadhiera,spotify:track:7iwQRdO2T6VZ5XoSywHgP6,https://p.scdn.co/mp3-preview/5423214e89e87a46cda34b85471add4e3a90adf1?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5sml6juxnDkUFi3K3bRAuq'}, 'href': 'https://api.spotify.com/v1/artists/5sml6juxnDkUFi3K3bRAuq', 'id': '5sml6juxnDkUFi3K3bRAuq', 'name': 'Wangden Sherpa', 'type': 'artist', 'uri': 'spotify:artist:5sml6juxnDkUFi3K3bRAuq'}]",0.456,0.525,0.388,0.000545,0.108,-9.123,0.0279,133.789,0.181,37,"[0.181, 0.388]"
3,4,Aaja Matra,2,5qsBQg9qCwqzFHfgfUGVss,Suna Kaanchi,spotify:track:5qsBQg9qCwqzFHfgfUGVss,https://p.scdn.co/mp3-preview/0b81d14994647814c7bc6230d0d56fa6c0acb91c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.733,0.711,0.401,0.00756,0.221,-13.465,0.0618,153.919,0.775,39,"[0.775, 0.401]"
4,5,Katha: Episode VII - Jeevan,1,35pLMyMgUKbBMgDP2sLFsh,Katha: Episode VII - Jeevan,spotify:track:35pLMyMgUKbBMgDP2sLFsh,https://p.scdn.co/mp3-preview/e08faa8c58f5b8b9a6584ce2193b429c4b0da14e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Sw9fGSv8Ms7f0AcI5ewh8'}, 'href': 'https://api.spotify.com/v1/artists/3Sw9fGSv8Ms7f0AcI5ewh8', 'id': '3Sw9fGSv8Ms7f0AcI5ewh8', 'name': 'Dixita Karki', 'type': 'artist', 'uri': 'spotify:artist:3Sw9fGSv8Ms7f0AcI5ewh8'}]",0.735,0.459,0.328,0.34,0.11,-12.146,0.0362,125.643,0.309,36,"[0.309, 0.328]"
5,7,Suna Kaanchi,2,7Kh6uUEyql7rzf8rMmmYKj,Pahaar,spotify:track:7Kh6uUEyql7rzf8rMmmYKj,https://p.scdn.co/mp3-preview/48c24b30edd5cad7a79ffa2e0af812427ce9842e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.262,0.52,0.539,0.0,0.214,-9.197,0.027,94.897,0.179,39,"[0.179, 0.539]"
6,8,Pahaar (Live Version),1,0EUxdsQ25l0BMgdVQNhAy2,Pahaar - Live Version,spotify:track:0EUxdsQ25l0BMgdVQNhAy2,https://p.scdn.co/mp3-preview/48c24b30edd5cad7a79ffa2e0af812427ce9842e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.262,0.52,0.539,0.0,0.214,-9.197,0.027,94.897,0.179,38,"[0.179, 0.539]"
7,9,Pahaar (Live Version),2,7CgwUXqJyD7BjIzXsuVKBT,Nothing In My Head Besides Timi,spotify:track:7CgwUXqJyD7BjIzXsuVKBT,https://p.scdn.co/mp3-preview/7f83ef963f323fbd7acb8b04101784689071f827?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.0376,0.542,0.881,0.0,0.0677,-5.428,0.0411,137.222,0.89,34,"[0.89, 0.881]"
8,10,Ujeli,1,1cY8DmEeV6gkbxFazKmsSN,Ujeli,spotify:track:1cY8DmEeV6gkbxFazKmsSN,https://p.scdn.co/mp3-preview/50d0a972b37fb268de7008346c1173ba399cb0bb?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.811,0.508,0.446,2.82e-05,0.124,-7.996,0.0246,153.979,0.318,53,"[0.318, 0.446]"
9,13,Aayen Ma,1,37JMDhP16Cx3gGlkh4zfx2,Aayen Ma,spotify:track:37JMDhP16Cx3gGlkh4zfx2,https://p.scdn.co/mp3-preview/cd70406dfd7d0c55754cd3610b28d4af29d38811?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.57,0.51,0.55,2.01e-05,0.17,-7.875,0.0327,155.915,0.238,39,"[0.238, 0.55]"
