,album,track_number,id,name,uri,preview_url,artists,energy,valence,popularity,mood_vectors
0,Malaai Chaana Na,1,3IJQVaQcf1LQDrPEhGIlnH,Malaai Chaana Na,spotify:track:3IJQVaQcf1LQDrPEhGIlnH,https://p.scdn.co/mp3-preview/3c8cf0b1647fc719e652b23b2ca4ac71ee5bfee4?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.248,0.283,48,"[0.283, 0.248]"
1,Malaai Chaana Na,2,7LdTjqwkSBAKzjssfIDHBO,Aaja Matra,spotify:track:7LdTjqwkSBAKzjssfIDHBO,https://p.scdn.co/mp3-preview/3cda765a78de40999e1037ddb0d9ac2040121dd4?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.289,0.303,41,"[0.303, 0.289]"
2,Katha: Episode VIII - Tadhiera,1,7iwQRdO2T6VZ5XoSywHgP6,Katha: Episode VIII - Tadhiera,spotify:track:7iwQRdO2T6VZ5XoSywHgP6,https://p.scdn.co/mp3-preview/5423214e89e87a46cda34b85471add4e3a90adf1?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5sml6juxnDkUFi3K3bRAuq'}, 'href': 'https://api.spotify.com/v1/artists/5sml6juxnDkUFi3K3bRAuq', 'id': '5sml6juxnDkUFi3K3bRAuq', 'name': 'Wangden Sherpa', 'type': 'artist', 'uri': 'spotify:artist:5sml6juxnDkUFi3K3bRAuq'}]",0.388,0.181,37,"[0.181, 0.388]"
3,Aaja Matra,2,5qsBQg9qCwqzFHfgfUGVss,Suna Kaanchi,spotify:track:5qsBQg9qCwqzFHfgfUGVss,https://p.scdn.co/mp3-preview/0b81d14994647814c7bc6230d0d56fa6c0acb91c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.401,0.775,39,"[0.775, 0.401]"
4,Katha: Episode VII - Jeevan,1,35pLMyMgUKbBMgDP2sLFsh,Katha: Episode VII - Jeevan,spotify:track:35pLMyMgUKbBMgDP2sLFsh,https://p.scdn.co/mp3-preview/e08faa8c58f5b8b9a6584ce2193b429c4b0da14e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Sw9fGSv8Ms7f0AcI5ewh8'}, 'href': 'https://api.spotify.com/v1/artists/3Sw9fGSv8Ms7f0AcI5ewh8', 'id': '3Sw9fGSv8Ms7f0AcI5ewh8', 'name': 'Dixita Karki', 'type': 'artist', 'uri': 'spotify:artist:3Sw9fGSv8Ms7f0AcI5ewh8'}]",0.328,0.309,36,"[0.309, 0.328]"
5,Suna Kaanchi,2,7Kh6uUEyql7rzf8rMmmYKj,Pahaar,spotify:track:7Kh6uUEyql7rzf8rMmmYKj,https://p.scdn.co/mp3-preview/48c24b30edd5cad7a79ffa2e0af812427ce9842e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.539,0.179,38,"[0.179, 0.539]"
6,Pahaar (Live Version),1,0EUxdsQ25l0BMgdVQNhAy2,Pahaar - Live Version,spotify:track:0EUxdsQ25l0BMgdVQNhAy2,https://p.scdn.co/mp3-preview/48c24b30edd5cad7a79ffa2e0af812427ce9842e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.539,0.179,37,"[0.179, 0.539]"
7,Pahaar (Live Version),2,7CgwUXqJyD7BjIzXsuVKBT,Nothing In My Head Besides Timi,spotify:track:7CgwUXqJyD7BjIzXsuVKBT,https://p.scdn.co/mp3-preview/7f83ef963f323fbd7acb8b04101784689071f827?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.881,0.89,34,"[0.89, 0.881]"
8,Ujeli,1,1cY8DmEeV6gkbxFazKmsSN,Ujeli,spotify:track:1cY8DmEeV6gkbxFazKmsSN,https://p.scdn.co/mp3-preview/50d0a972b37fb268de7008346c1173ba399cb0bb?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.446,0.318,54,"[0.318, 0.446]"
9,Aayen Ma,1,37JMDhP16Cx3gGlkh4zfx2,Aayen Ma,spotify:track:37JMDhP16Cx3gGlkh4zfx2,https://p.scdn.co/mp3-preview/cd70406dfd7d0c55754cd3610b28d4af29d38811?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.55,0.238,39,"[0.238, 0.55]"
10,Katha: Episode VI - Aaundai Jaandai,1,10GfcvUgsZlpTtJiDXd3jZ,Katha: Episode VI - Aaundai Jaandai,spotify:track:10GfcvUgsZlpTtJiDXd3jZ,https://p.scdn.co/mp3-preview/897b56e493b308af80ce2b67b7e32eec7275f2c7?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3HCXwGbcij73gYMdmHjFQf'}, 'href': 'https://api.spotify.com/v1/artists/3HCXwGbcij73gYMdmHjFQf', 'id': '3HCXwGbcij73gYMdmHjFQf', 'name': 'Manish Gandharva', 'type': 'artist', 'uri': 'spotify:artist:3HCXwGbcij73gYMdmHjFQf'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4QNSrG0YTLP5u1KFnVvMQo'}, 'href': 'https://api.spotify.com/v1/artists/4QNSrG0YTLP5u1KFnVvMQo', 'id': '4QNSrG0YTLP5u1KFnVvMQo', 'name': 'Sarun Tamrakar', 'type': 'artist', 'uri': 'spotify:artist:4QNSrG0YTLP5u1KFnVvMQo'}]",0.258,0.364,35,"[0.364, 0.258]"
11,Hyatteri,1,0kMqT2uW2NijYJTcot7IWE,Hyatteri,spotify:track:0kMqT2uW2NijYJTcot7IWE,https://p.scdn.co/mp3-preview/8aaa96771276049af93c145efda30b482b721a78?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.549,0.856,53,"[0.856, 0.549]"
12,Dhairya,1,1pKprNwMXs64PhxFcFMWCA,Dhairya,spotify:track:1pKprNwMXs64PhxFcFMWCA,https://p.scdn.co/mp3-preview/718ebb91b1b6fdac3f8c419d3f2782e54bfe7cac?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.322,0.304,55,"[0.304, 0.322]"
13,Katha: Episode V - Alapatra,1,3Q5JcxqKmSE9hKGk3WmspW,Katha: Episode V - Alapatra,spotify:track:3Q5JcxqKmSE9hKGk3WmspW,https://p.scdn.co/mp3-preview/bae94c73b90c10b7513e9db501de5db22a5953e9?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1D0B4qrMRfjzDfBlijs3YH'}, 'href': 'https://api.spotify.com/v1/artists/1D0B4qrMRfjzDfBlijs3YH', 'id': '1D0B4qrMRfjzDfBlijs3YH', 'name': 'Yabesh Thapa', 'type': 'artist', 'uri': 'spotify:artist:1D0B4qrMRfjzDfBlijs3YH'}]",0.2,0.308,42,"[0.308, 0.2]"
14,Ek Sarvanaam,1,25jpyDVM8HFfNuos94WiE0,Ek Sarvanaam,spotify:track:25jpyDVM8HFfNuos94WiE0,https://p.scdn.co/mp3-preview/befce3c8b71031d4697774ff26233cd5ea758971?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.348,0.637,45,"[0.637, 0.348]"
15,Sasto Mutu,1,4iHcmWi4kGGNCEk44ZIXIc,Sasto Mutu,spotify:track:4iHcmWi4kGGNCEk44ZIXIc,https://p.scdn.co/mp3-preview/894682c19eb938e46513e44fbb590f3a85530bb8?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.538,0.369,58,"[0.369, 0.538]"
16,Naganya Maya,1,4sakBPqSpuj6FJti1rPme7,Naganya Maya,spotify:track:4sakBPqSpuj6FJti1rPme7,https://p.scdn.co/mp3-preview/76674fe39845a0b1d1755150de43b9da74c49ad5?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.26,0.205,55,"[0.205, 0.26]"
17,Parkhaai,1,2ek8eVDHsdmzPHIhyVNJJe,Parkhaai,spotify:track:2ek8eVDHsdmzPHIhyVNJJe,https://p.scdn.co/mp3-preview/bad2843c91f0ec2417d73db9ca92229271fe944a?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.28,0.337,51,"[0.337, 0.28]"
18,Parkhaai,2,01DNXEEngoTrrI0DMLRJoI,Sukumbaasi,spotify:track:01DNXEEngoTrrI0DMLRJoI,https://p.scdn.co/mp3-preview/f7ecd69db93dc000f4932604ded82464b3645720?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.215,0.209,34,"[0.209, 0.215]"
19,Parkhaai,3,30JIX9O5XPxZtOox3U9W6F,Ultaa Paailaa,spotify:track:30JIX9O5XPxZtOox3U9W6F,https://p.scdn.co/mp3-preview/36f90bd4b9b970e39b0a13c787b5e059880d8d72?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.22,0.279,36,"[0.279, 0.22]"
20,Lukaamaari,1,6PgAZFD8x5KwV0tKLkm4gf,Lukaamaari,spotify:track:6PgAZFD8x5KwV0tKLkm4gf,https://p.scdn.co/mp3-preview/8c1721256613376665f7825123c45491daa01a0c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.242,0.311,46,"[0.311, 0.242]"
21,Purva Jaaney Panchi,1,0x7IaHEklh7XfRj3PNVDef,Purva Jaaney Panchi,spotify:track:0x7IaHEklh7XfRj3PNVDef,https://p.scdn.co/mp3-preview/f92f0432d6c112f286c69038345f00b629d552ed?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5cMU6M0MAZQh7SHWtYj71P'}, 'href': 'https://api.spotify.com/v1/artists/5cMU6M0MAZQh7SHWtYj71P', 'id': '5cMU6M0MAZQh7SHWtYj71P', 'name': 'Joyous Gurung', 'type': 'artist', 'uri': 'spotify:artist:5cMU6M0MAZQh7SHWtYj71P'}]",0.22,0.352,30,"[0.352, 0.22]"
22,Parkha Na,1,4zdOY2zRsFjG2B8OMH17sJ,Parkha Na,spotify:track:4zdOY2zRsFjG2B8OMH17sJ,https://p.scdn.co/mp3-preview/3f19a36b43a6665deb63fb0161b2666639952c38?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.374,0.381,50,"[0.381, 0.374]"
23,Jhyal Bata,1,3xy94W4sjVZv1BhsdmgwAS,Jhyal Bata,spotify:track:3xy94W4sjVZv1BhsdmgwAS,https://p.scdn.co/mp3-preview/4ae39c80e075ea388ed0b9382a1bca9bf99d7c0a?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.354,0.229,49,"[0.229, 0.354]"
24,Atteri,1,78W8nJUvPkhFMXZlyISbvf,Atteri,spotify:track:78W8nJUvPkhFMXZlyISbvf,https://p.scdn.co/mp3-preview/2a236283aac4868259cdbf3be9ae8ab0f097105a?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.644,0.292,43,"[0.292, 0.644]"
25,Behos,1,3Rqzc6Jiexj1KJrXBKehEq,Behos,spotify:track:3Rqzc6Jiexj1KJrXBKehEq,https://p.scdn.co/mp3-preview/ce1a193a75f4f3c08e297c13b8df096be56fe038?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4zpcRnIPiVnSgahFpQRiMN'}, 'href': 'https://api.spotify.com/v1/artists/4zpcRnIPiVnSgahFpQRiMN', 'id': '4zpcRnIPiVnSgahFpQRiMN', 'name': 'Ruslan Studio', 'type': 'artist', 'uri': 'spotify:artist:4zpcRnIPiVnSgahFpQRiMN'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5HfnXv8QG6AKoIJNI7NDWW'}, 'href': 'https://api.spotify.com/v1/artists/5HfnXv8QG6AKoIJNI7NDWW', 'id': '5HfnXv8QG6AKoIJNI7NDWW', 'name': 'The Bangers', 'type': 'artist', 'uri': 'spotify:artist:5HfnXv8QG6AKoIJNI7NDWW'}]",0.497,0.251,34,"[0.251, 0.497]"
26,Sarangi,1,0pYMa1j9R24qW50J4yc0X3,Sarangi,spotify:track:0pYMa1j9R24qW50J4yc0X3,https://p.scdn.co/mp3-preview/1974097e1c0eba863d5b81450c87593f575d883f?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.496,0.293,59,"[0.293, 0.496]"
27,Gajalu,1,1rdEAQXWUTLSK2uiFrwyW3,Gajalu,spotify:track:1rdEAQXWUTLSK2uiFrwyW3,https://p.scdn.co/mp3-preview/8fc0030d2076a7577df90ad1fe4785c23374f349?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.195,0.216,49,"[0.216, 0.195]"
28,Hawa Le,1,6zuE4QWlxf5WMK6dQPvFHj,Hawa Le,spotify:track:6zuE4QWlxf5WMK6dQPvFHj,https://p.scdn.co/mp3-preview/0a90f5c2348789b948c33d2ad6425d3fefa39336?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.333,0.345,47,"[0.345, 0.333]"
29,Baimani,1,22iBmoVrgIxGpiaIPHToBJ,Baimani,spotify:track:22iBmoVrgIxGpiaIPHToBJ,https://p.scdn.co/mp3-preview/47bcf5938ddc0c54a89af8de4f54ae60fb468423?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.347,0.154,45,"[0.154, 0.347]"
30,Lilac Fashion (Remix) [slowed + reverb],1,5TsBLQUfy9cOPph0QJPwkJ,Lilac Fashion (Remix) - slowed + reverb,spotify:track:5TsBLQUfy9cOPph0QJPwkJ,https://p.scdn.co/mp3-preview/cb19975444cb9a308d4be794d626648f845f639c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1onW0aoWIXT09Pb9REqwO5'}, 'href': 'https://api.spotify.com/v1/artists/1onW0aoWIXT09Pb9REqwO5', 'id': '1onW0aoWIXT09Pb9REqwO5', 'name': 'LIL Rock Look', 'type': 'artist', 'uri': 'spotify:artist:1onW0aoWIXT09Pb9REqwO5'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3DCpwzO6gwjI3gUTHW92ct'}, 'href': 'https://api.spotify.com/v1/artists/3DCpwzO6gwjI3gUTHW92ct', 'id': '3DCpwzO6gwjI3gUTHW92ct', 'name': 'Jay Author', 'type': 'artist', 'uri': 'spotify:artist:3DCpwzO6gwjI3gUTHW92ct'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.828,0.406,26,"[0.406, 0.828]"
31,Yaad,1,5SyRppPiG63Ci4sZ58c5og,Yaad,spotify:track:5SyRppPiG63Ci4sZ58c5og,https://p.scdn.co/mp3-preview/79d8896cde5682f0f8c5d8f545a13e77ab8e4ea5?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/09Dgzq8dbeGVQ6G30PRSEI'}, 'href': 'https://api.spotify.com/v1/artists/09Dgzq8dbeGVQ6G30PRSEI', 'id': '09Dgzq8dbeGVQ6G30PRSEI', 'name': 'Brijesh Shrestha', 'type': 'artist', 'uri': 'spotify:artist:09Dgzq8dbeGVQ6G30PRSEI'}]",0.666,0.505,41,"[0.505, 0.666]"
