,album,track_number,id,name,uri,preview_url,artists,energy,valence,popularity,mood_vectors
1064,Yoga Music,5,0wC1BZ0DfoMsjx2euPFs33,Blitz,spotify:track:0wC1BZ0DfoMsjx2euPFs33,https://p.scdn.co/mp3-preview/69bad4b76083178bc30e44084d418de129772f2c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4f3uXj8I1URIpxYCgACqMR'}, 'href': 'https://api.spotify.com/v1/artists/4f3uXj8I1URIpxYCgACqMR', 'id': '4f3uXj8I1URIpxYCgACqMR', 'name': 'Gogenheim', 'type': 'artist', 'uri': 'spotify:artist:4f3uXj8I1URIpxYCgACqMR'}]",0.103,0.0799,34,"[0.0799, 0.103]"
1065,Yoga Music,6,3ArsGCbpmAtFersgArfBfT,Mandala,spotify:track:3ArsGCbpmAtFersgArfBfT,https://p.scdn.co/mp3-preview/d668b0d886f5f37183beeb23e63a6e342686e699?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6WrKGQdOj7BcZNZ8uvIWOV'}, 'href': 'https://api.spotify.com/v1/artists/6WrKGQdOj7BcZNZ8uvIWOV', 'id': '6WrKGQdOj7BcZNZ8uvIWOV', 'name': 'Pranayama Om', 'type': 'artist', 'uri': 'spotify:artist:6WrKGQdOj7BcZNZ8uvIWOV'}]",0.256,0.0302,26,"[0.0302, 0.256]"
1066,Yoga Music,7,7JNSH4PQVgd3BMrEyfXXsO,Underbart,spotify:track:7JNSH4PQVgd3BMrEyfXXsO,https://p.scdn.co/mp3-preview/b9f21f693c5b168c1539fc41613c46623099f949?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2v62tGVulAui917rxpcmVJ'}, 'href': 'https://api.spotify.com/v1/artists/2v62tGVulAui917rxpcmVJ', 'id': '2v62tGVulAui917rxpcmVJ', 'name': 'The 2 Inversions', 'type': 'artist', 'uri': 'spotify:artist:2v62tGVulAui917rxpcmVJ'}]",0.139,0.0367,29,"[0.0367, 0.139]"
1067,Yoga Music,8,6nx5HcurSOU0lVZYhoY3k6,Aberdeen,spotify:track:6nx5HcurSOU0lVZYhoY3k6,https://p.scdn.co/mp3-preview/673a3d0c10798b959af812a469fa9fdda98ea5ff?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3ggv39tjOWk2OH6DMvin5e'}, 'href': 'https://api.spotify.com/v1/artists/3ggv39tjOWk2OH6DMvin5e', 'id': '3ggv39tjOWk2OH6DMvin5e', 'name': 'Mr.Reight', 'type': 'artist', 'uri': 'spotify:artist:3ggv39tjOWk2OH6DMvin5e'}]",0.0135,0.0432,25,"[0.0432, 0.0135]"
1068,Yoga Music,9,6RSamYe6vPBz7mGHe5Qj1q,Vast Changes,spotify:track:6RSamYe6vPBz7mGHe5Qj1q,https://p.scdn.co/mp3-preview/d149ec5207d5266cd5fb2ec214b08461e060a209?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6gfKfJS89ZAy4mSAlwTXvc'}, 'href': 'https://api.spotify.com/v1/artists/6gfKfJS89ZAy4mSAlwTXvc', 'id': '6gfKfJS89ZAy4mSAlwTXvc', 'name': 'Regentum', 'type': 'artist', 'uri': 'spotify:artist:6gfKfJS89ZAy4mSAlwTXvc'}]",0.044,0.0898,26,"[0.0898, 0.044]"
1069,Yoga Music,11,1uO9ZJFzDuwQ2XzmHt5TmN,Incubations,spotify:track:1uO9ZJFzDuwQ2XzmHt5TmN,https://p.scdn.co/mp3-preview/64034ff0ea1e9ebd52cf363731ca93e97ab9e7cd?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6wCp7aiL9NQ8j2vl6BQAsa'}, 'href': 'https://api.spotify.com/v1/artists/6wCp7aiL9NQ8j2vl6BQAsa', 'id': '6wCp7aiL9NQ8j2vl6BQAsa', 'name': 'Roland Mercier', 'type': 'artist', 'uri': 'spotify:artist:6wCp7aiL9NQ8j2vl6BQAsa'}]",0.0388,0.0952,31,"[0.0952, 0.0388]"
1070,Yoga Music,12,2tU0Nkl7OiCanPWfnOe67z,Tantra Loom,spotify:track:2tU0Nkl7OiCanPWfnOe67z,https://p.scdn.co/mp3-preview/494e4d43e5ffb8b59c9485178fe15147b98a6462?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0eGpzO3YMOyEZRsrwH3Np8'}, 'href': 'https://api.spotify.com/v1/artists/0eGpzO3YMOyEZRsrwH3Np8', 'id': '0eGpzO3YMOyEZRsrwH3Np8', 'name': 'Advaitas', 'type': 'artist', 'uri': 'spotify:artist:0eGpzO3YMOyEZRsrwH3Np8'}]",0.132,0.0717,39,"[0.0717, 0.132]"
1071,Yoga Music,13,60TO28lSyVBoV5vfLOm1mx,Teachers Anthem,spotify:track:60TO28lSyVBoV5vfLOm1mx,https://p.scdn.co/mp3-preview/38dd83db1eccab14b9cb1df166d4e6ceaeef9665?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0eGpzO3YMOyEZRsrwH3Np8'}, 'href': 'https://api.spotify.com/v1/artists/0eGpzO3YMOyEZRsrwH3Np8', 'id': '0eGpzO3YMOyEZRsrwH3Np8', 'name': 'Advaitas', 'type': 'artist', 'uri': 'spotify:artist:0eGpzO3YMOyEZRsrwH3Np8'}]",0.331,0.037,22,"[0.037, 0.331]"
1072,Yoga Music,14,1JT0EGMCr3SCUumDC4JIlx,The Tower of Embellion,spotify:track:1JT0EGMCr3SCUumDC4JIlx,https://p.scdn.co/mp3-preview/c315b9ba8ea5268d58ac792f1d78ab3e57b5f679?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5VMpyeQNlYtPipmkNpxRt0'}, 'href': 'https://api.spotify.com/v1/artists/5VMpyeQNlYtPipmkNpxRt0', 'id': '5VMpyeQNlYtPipmkNpxRt0', 'name': 'Muni Yogi', 'type': 'artist', 'uri': 'spotify:artist:5VMpyeQNlYtPipmkNpxRt0'}]",0.0116,0.035,26,"[0.035, 0.0116]"
1073,Yoga Music,15,575BH6h4XMwj1muioN5Q13,Under The Tabla,spotify:track:575BH6h4XMwj1muioN5Q13,https://p.scdn.co/mp3-preview/bb977ac6d10b456fcf6953fc4d158f9a7e366eda?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6wCp7aiL9NQ8j2vl6BQAsa'}, 'href': 'https://api.spotify.com/v1/artists/6wCp7aiL9NQ8j2vl6BQAsa', 'id': '6wCp7aiL9NQ8j2vl6BQAsa', 'name': 'Roland Mercier', 'type': 'artist', 'uri': 'spotify:artist:6wCp7aiL9NQ8j2vl6BQAsa'}]",0.321,0.132,26,"[0.132, 0.321]"
